WORD1	WORD2	AVG_SCORE
kissi	body_parts	0
gormange	body_parts	0
shundi	body_parts	0
ousour	body_parts	0
awir-in-tuwa	body_parts	0
Buhen	nobian_city	0
Heh	nobian_city	0
Qasr-Ibrim	nobian_city	0
Faras	nobian_city	0
Abu-Simbel	nobian_city	0
euesi	girls_name	0
Kapopi	girls_name	0
Anenikoli	girls_name	0
Pampigon	girls_name	0
Enomariamê	girls_name	0
Mariamê	girls_name	0
Mariham	girls_name	0
Abraam	boys_name	0
Aron	boys_name	0
Aberkios	boys_name	0
Agapos	boys_name	0
Aggestotil	boys_name	0
Aggelos	boys_name	0
Anton	boys_name	0
