WORD1 WORD2 AVG_SCORE
finagnon mixed_name 0
ayaba girl_name 0
dotou boy_name 0
bossou mixed_name 0
affogon boy_name 0
denangni boy_name 0
adjilé mixed_name 0
sowanou girl_name 0
sènan boy_name 0
boton mixed_name 0
setchégbé mixed_name 0
dossavi boy_name 0
sossa girl_name 0
ahounanse girl_name 0
kõli body_part 0
hounon boy_name 0
femi mixed_name 0
wosun month_year 0
houesse girl_name 0
binanzon girl_name 0
gbenou boy_name 0
coovi boy_name 0
sezonlin boy_name 0
xwéjisun month_year 0
setondji boy_name 0
nũ body_part 0
gbètognon mixed_name 0
ganvié benin_city 0
agbomè-kandofi benin_city 0
akouavi mixed_name 0
gléxwé benin_city 0
ayo mixed_name 0
toovi mixed_name 0
doupko mixed_name 0
ahouefa girl_name 0
djossou boy_name 0
woosun month_year 0
adjanohoun girl_name 0
adjoua girl_name 0
toffa boy_name 0
kùtonù benin_city 0
alonoumi mixed_name 0
zinsou boy_name 0
ayéfèmi mixed_name 0
adonon mixed_name 0
dossou boy_name 0
djidonou boy_name 0
sènanmi mixed_name 0
zâ-kpota benin_city 0
azovè benin_city 0
fadonougbo boy_name 0
gbegningbenan mixed_name 0
houéfa girl_name 0
tó body_part 0
kanfonhoue boy_name 0
mehome boy_name 0
mahouton mixed_name 0
hodonou boy_name 0
fɛnvị body_part 0
alɔkpɑkpa body_part 0
nukunxwasun month_year 0
tɑxụ body_part 0
adɔgo body_part 0
abiola boy_name 0
gangnon boy_name 0
sibigbe day_week 0
fifa girl_name 0
nɛngbé body_part 0
zè benin_city 0
hêvié benin_city 0
avivɔsun month_year 0
gbessi girl_name 0
sèhouè benin_city 0
djimon boy_name 0
segbenou boy_name 0
yaovi girl_name 0
tognon mixed_name 0
tɛnigbé day_week 0
eloginisè girl_name 0
ahouéfa girl_name 0
akwavi girl_name 0
n'venonfon boy_name 0
fifavi girl_name 0
ablefonlin mixed_name 0
azangagbé day_week 0
akouègnon boy_name 0
sonangon mixed_name 0
nonvignon mixed_name 0
mahuklo mixed_name 0
foumilayo girl_name 0
ouèdo benin_city 0
adetola boy_name 0
akouwègnon mixed_name 0
yenoukoumè girl_name 0
coffi boy_name 0
agla benin_city 0
houetchegon mixed_name 0
zogụdo body_part 0
jawou boy_name 0
agonli benin_city 0
omantayo mixed_name 0
zɑkɛtɛ body_part 0
nụnkụn body_part 0
gbegan boy_name 0
dansi girl_name 0
djeregbé benin_city 0
afiavi girl_name 0
agossou girl_name 0
fènou girl_name 0
djivede boy_name 0
akɔnta body_part 0
mahougbé mixed_name 0
houeto boy_name 0
ahouansou boy_name 0
assiba girl_name 0
ahossou boy_name 0
kantchémey boy_name 0
houenou mixed_name 0
afɔkpɑkpɑ body_part 0
mahussedeh mixed_name 0
tchenangnon mixed_name 0
cococodji benin_city 0
djidjoho girl_name 0
aluunsu month_year 0
alogon mixed_name 0
anɔn body_part 0
enangnon mixed_name 0
sagbo boy_name 0
sègnimètché mixed_name 0
wõgbonou benin_city 0
sossou boy_name 0
houessinon mixed_name 0
mahuna mixed_name 0
sègla mixed_name 0
dagbede boy_name 0
sourou boy_name 0
dossi girl_name 0
ahɔnvi body_part 0
agbangnizou benin_city 0
afɔgbɛnụn body_part 0
zoungbo-tossota benin_city 0
koulodji boy_name 0
mededode mixed_name 0
hinnougnon mixed_name 0
houenagnon boy_name 0
kplakou benin_city 0
kpadonou boy_name 0
segla boy_name 0
vidjinangni boy_name 0
gbodja boy_name 0
cocotomè benin_city 0
fossou boy_name 0
tonaffa boy_name 0
ablawa girl_name 0
orèmi girl_name 0
nobime mixed_name 0
dagbeji boy_name 0
alihossi mixed_name 0
gbètondji boy_name 0
abɔxwisun month_year 0
gbevi mixed_name 0
gbèmènou boy_name 0
olamidé mixed_name 0
somalin girl_name 0
babatoundji boy_name 0
tossa boy_name 0
akouavi girl_name 0
fifonsi girl_name 0
afiavi mixed_name 0
gogotainkpon benin_city 0
sovi boy_name 0
fifamè girl_name 0
videhouenoun boy_name 0
sena girl_name 0
bonon boy_name 0
tossa mixed_name 0
adjibola mixed_name 0
liyasun month_year 0
tạ body_part 0
codjo boy_name 0
comlan boy_name 0
kpèdétin girl_name 0
yonnụn body_part 0
mahutin mixed_name 0
alihonou boy_name 0
ayidosu month_year 0
kodjovi boy_name 0
sessito girl_name 0
gbɑkɔ body_part 0
mèdéseh girl_name 0
mahuton mixed_name 0
denankpon mixed_name 0
mahugnon mixed_name 0
bohicon benin_city 0
nuxwasun month_year 0
asɑ body_part 0
kpatinvoh mixed_name 0
dégbèhi mixed_name 0
zofinkplɔsun month_year 0
ayaovi girl_name 0
dangbo benin_city 0
mehvo mixed_name 0
sèmanou boy_name 0
missèbo benin_city 0
bidossessi girl_name 0
agbomè benin_city 0
kouessi mixed_name 0
mahougnon mixed_name 0
gbedonou boy_name 0
sèwanou girl_name 0
gbessossou boy_name 0
sègbégnon boy_name 0
afɔ body_part 0
kandé girl_name 0
sèdjro boy_name 0
sognon boy_name 0
ɖɑ body_part 0
axɔsuzangbé day_week 0
lidosun month_year 0
ahlonsou girl_name 0
gbèdo boy_name 0
alihossi girl_name 0
fidjrosse benin_city 0
akouvi girl_name 0
fifawa girl_name 0
aklunɔzangbé day_week 0
mahoume mixed_name 0
gbedo mixed_name 0
alịnmɛn body_part 0
ayékotchikpa mixed_name 0
ahinon girl_name 0
afɔgokɔ body_part 0
zosun month_year 0
olayinka mixed_name 0
houefonde boy_name 0
kinmagba boy_name 0
alɔ body_part 0
sèdami girl_name 0
gahoun boy_name 0
olouwafèmi mixed_name 0
vignon mixed_name 0
mawuena girl_name 0
vodungbé day_week 0
mawuton mixed_name 0
dossou-yovo mixed_name 0
glele boy_name 0
canãan benin_city 0
hounon girl_name 0
glessi girl_name 0
tadagbé boy_name 0
houenoun boy_name 0
houenon girl_name 0
nyɔnuzanbgé day_week 0
kèmi girl_name 0
dassa benin_city 0
houndayidji boy_name 0
kɔnyasun month_year 0
awɔntịn body_part 0
hounsinoun mixed_name 0
sité girl_name 0
zonon boy_name 0
dégnitché boy_name 0
donan mixed_name 0
aglăn body_part 0
djidja benin_city 0
oluwatoyin girl_name 0
hountcheme boy_name 0
gbenankpon boy_name 0
sessi girl_name 0
hessou boy_name 0
olouwafoumi girl_name 0
ouinssi girl_name 0
fifamin girl_name 0
dosse boy_name 0
xogbonou benin_city 0
fifawah girl_name 0
tchegnon mixed_name 0
gado boy_name 0
dansou boy_name 0
aguessi girl_name 0
wiceji boy_name 0
dossounon mixed_name 0
afiwa girl_name 0
taatagbé day_week 0
hadonon mixed_name 0
bignon mixed_name 0
sèmèvoh girl_name 0
hounyonvi girl_name 0
tossoulegue girl_name 0
abă body_part 0
alɔvi body_part 0
cossi boy_name 0
kɔ body_part 0
